Rk,Player,Tm,Age,POS,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
321,Matt Breida,BUF,26,,9,0,9,7,72,2,4,11,1.6,61,8.7,0.9,0,,0,0,0,139.6
322,DJ Chark,JAX,25,WR,4,4,22,7,154,2,7,130,18.6,24,3.4,16.3,0,,1,4.5,1,69.1
323,Phillip Dorsett,3TM,28,,6,0,14,7,110,0,3,83,11.9,27,3.9,15,0,,0,0,0,76.5
324,Luke Farrell,JAX,24,TE,15,4,11,7,56,0,3,28,4,28,4,6.6,0,,1,9.1,1,38.4
325,Noah Gray,KAN,22,TE,16,1,10,7,36,1,2,18,2.6,18,2.6,2.3,0,,1,10,0,108.7
326,Penny Hart,SEA,25,,17,0,12,7,59,0,3,18,2.6,41,5.9,9,0,,1,8.3,0,71.2
327,Godwin Igwebuike,DET,27,RB,17,1,10,7,60,0,4,-4,-0.6,64,9.1,1.5,1,7,2,20,0,85.4
328,Jesse James,CHI,27,TE,14,9,8,7,62,1,3,44,6.3,18,2.6,6.8,0,,0,0,0,138.5
329,Craig Reynolds,DET,25,,5,2,8,7,52,0,3,-4,-0.6,56,8,0,2,3.5,0,0,0,93.7
330,Greg Ward,PHI,26,,17,0,11,7,95,3,4,79,11.3,16,2.3,7.7,0,,2,18.2,0,130.7
331,Jeff Wilson,SFO,26,RB,9,4,8,7,31,0,1,-12,-1.7,43,6.1,-1.3,0,,0,0,0,82.8
332,Eno Benjamin,ARI,22,,9,0,7,6,42,0,4,-4,-0.7,46,7.7,-0.1,2,3,0,0,0,91.7
333,Chris Carson,SEA,27,RB,4,4,6,6,29,0,1,-13,-2.2,42,7,-2.2,2,3,0,0,0,86.8
334,Corey Clement,DAL,27,,17,0,7,6,29,1,1,12,2,17,2.8,1.7,0,,1,14.3,0,123.5
335,Jaelon Darden,TAM,22,,9,0,12,6,43,0,1,19,3.2,24,4,13,0,,0,0,1,24
336,Tom Kennedy,DET,25,,12,0,10,6,54,0,2,37,6.2,17,2.8,7.7,1,6,1,10,1,35
337,Chris Manhertz,JAX,29,TE,17,10,9,6,71,1,4,45,7.5,26,4.3,7.6,0,,0,0,0,127.5
338,Tre' McKitty,LAC,22,TE,11,4,8,6,45,0,3,11,1.8,34,5.7,2.3,0,,0,0,0,88
339,Anthony Miller,2TM,27,,3,1,12,6,25,1,3,15,2.5,10,1.7,6.3,0,,0,0,2,44.4
340,Rashaad Penny,SEA,25,RB,10,6,8,6,48,0,3,-14,-2.3,62,10.3,-2,1,6,1,12.5,0,89.6
341,Curtis Samuel,WAS,25,WR,5,1,9,6,27,0,4,-13,-2.2,40,6.7,2.3,0,,0,0,1,30.6
342,Shi Smith,CAR,23,,6,0,11,6,104,0,3,33,5.5,71,11.8,6.7,0,,0,0,1,49.1
343,Kenny Stills,NOR,29,WR,13,4,23,6,68,1,4,58,9.7,10,1.7,18.4,0,,1,4.3,1,36
344,Preston Williams,MIA,24,WR,8,3,16,6,71,0,3,33,5.5,38,6.3,8.2,2,3,3,18.8,0,51.8
345,Antony Auclair,HOU,28,TE,16,13,5,5,47,1,2,22,4.4,25,5,4.4,1,5,0,0,0,145.4
346,Le'Veon Bell,2TM,29,,8,0,7,5,30,1,3,4,0.8,26,5.2,0.7,1,5,1,14.3,0,119
347,Dez Fitzpatrick,TEN,24,,4,0,8,5,49,1,4,46,9.2,3,0.6,13.6,0,,0,0,2,79.7
348,Joe Fortson,KAN,26,,6,0,5,5,47,2,3,38,7.6,9,1.8,7.6,0,,0,0,0,145.4
349,Josh Gordon,KAN,30,WR,12,7,14,5,32,1,3,27,5.4,5,1,10.9,0,,2,14.3,2,28.6
350,KJ Hamler,DEN,22,WR,3,2,10,5,74,0,4,58,11.6,16,3.2,20.1,0,,1,10,0,74.6
351,Parker Hesse,ATL,26,TE,8,1,6,5,43,0,3,22,4.4,21,4.2,3.7,0,,0,0,0,96.5
352,Tony Jones,NOR,24,RB,11,4,8,5,29,0,2,1,0.2,28,5.6,0.1,0,,0,0,0,69.3
353,Joshua Kelley,LAC,24,,10,0,6,5,38,0,1,7,1.4,31,6.2,2.2,1,5,0,0,0,93.1
354,Scott Miller,TAM,24,,9,0,9,5,38,0,2,29,5.8,9,1.8,13,0,,0,0,2,26.4
355,Colby Parkinson,SEA,22,TE,14,1,8,5,33,0,2,13,2.6,20,4,5.9,0,,0,0,0,71.4
356,Rodney Smith,CAR,25,,2,0,5,5,48,0,2,16,3.2,32,6.4,3.2,1,5,0,0,0,106.7
357,Ihmir Smith-Marsette,MIN,22,WR,8,1,6,5,116,2,4,99,19.8,17,3.4,21.3,0,,0,0,0,158.3
358,Mike Thomas,CIN,27,WR,12,1,11,5,52,0,3,39,7.8,13,2.6,9.9,0,,0,0,0,59.7
359,Cody White,PIT,23,,15,0,6,5,33,0,3,19,3.8,14,2.8,6.3,0,,1,16.7,0,89.6
360,Charlie Woerner,SFO,24,TE,17,3,6,5,52,0,3,43,8.6,9,1.8,8.7,0,,0,0,0,102.8
361,Christian Blake,ATL,25,,16,0,9,4,25,0,2,23,5.8,2,0.5,6.4,0,,1,11.1,0,51.6
362,Kendall Blanton,LAR,26,TE,11,2,7,4,37,0,2,24,6,13,3.3,6.1,0,,2,28.6,0,71.7
363,C.J. Board,NYG,28,WR,6,1,6,4,51,0,3,38,9.5,13,3.3,17,0,,0,0,1,53.5
364,Ja'Marcus Bradley,CLE,25,,5,0,4,4,64,0,2,48,12,16,4,12,0,,0,0,0,118.7
365,Jason Cabinda,DET,25,FB,14,4,7,4,16,1,2,8,2,8,2,0.9,0,,2,28.6,0,101.8
366,Pharoh Cooper,NYG,26,,8,0,11,4,33,0,1,26,6.5,7,1.8,7.2,0,,0,0,1,7
367,Tyler Davis,GNB,24,,14,0,5,4,35,0,1,22,5.5,13,3.3,7.6,0,,1,20,0,95.8
368,Ross Dwelley,SFO,26,TE,17,2,5,4,51,1,2,46,11.5,5,1.3,11.8,0,,0,0,0,148.7
369,Darren Fells,2TM,35,,9,5,5,4,43,0,2,16,4,27,6.8,4.8,0,,0,0,0,102.5
370,Will Fuller,MIA,27,,2,0,8,4,26,0,3,16,4,10,2.5,16.4,1,4,0,0,0,57.3
371,Garrett Griffin,NOR,27,TE,13,6,4,4,39,0,2,12,3,27,6.8,3,0,,0,0,0,107.3
372,Chris Herndon,MIN,25,TE,16,5,7,4,40,1,4,9,2.3,31,7.8,4.1,0,,2,28.6,0,113.1
373,Taysom Hill,NOR,31,QB,12,9,6,4,52,0,4,2,0.5,50,12.5,3.2,1,4,0,0,1,54.2
374,Chris Hogan,NOR,34,,5,1,8,4,41,1,2,20,5,21,5.3,5.1,0,,0,0,0,104.7
375,Cody Hollister,TEN,28,WR,3,1,7,4,33,0,4,16,4,17,4.3,10.3,0,,0,0,1,29.8
376,Jermar Jefferson,DET,21,,7,0,5,4,23,0,2,2,0.5,21,5.3,0.2,0,,0,0,0,85.8
377,Duke Johnson,MIA,28,RB,5,4,5,4,41,0,3,-10,-2.5,51,12.8,-1.6,2,2,1,20,0,100.8
378,Jakob Johnson,NWE,27,FB,17,6,5,4,43,0,2,9,2.3,34,8.5,2,1,4,0,0,0,102.5
379,Phillip Lindsay,2TM,27,,14,1,5,4,45,1,1,-8,-2,53,13.3,-2.2,0,,1,20,0,143.7
380,Sean McKeon,DAL,24,TE,9,2,6,4,27,1,2,17,4.3,10,2.5,4.5,1,4,0,0,0,116
381,Kene Nwangwu,MIN,23,,11,0,5,4,9,0,0,-10,-2.5,19,4.8,-1.2,0,,0,0,0,79.2
382,Qadree Ollison,ATL,25,,8,0,6,4,12,0,1,5,1.3,7,1.8,1.7,0,,0,0,0,70.1
383,Adrian Peterson,2TM,36,,4,3,4,4,8,0,0,-6,-1.5,14,3.5,-1.5,0,,0,0,0,79.2
384,Amari Rodgers,GNB,22,WR,16,1,8,4,45,0,2,21,5.3,24,6,5,1,4,1,12.5,1,27.6
385,Wendell Smallwood,WAS,27,,3,0,5,4,22,0,0,8,2,14,3.5,0.6,0,,0,0,0,85
386,Willie Snead,2TM,29,,9,0,8,4,38,0,3,26,6.5,12,3,8.4,1,4,1,12.5,1,24
387,Jack Stoll,PHI,23,TE,16,5,5,4,22,0,,2,0.5,20,5,2.8,0,,0,0,0,85
388,J.J. Taylor,NWE,23,,5,0,4,4,8,0,0,-2,-0.5,10,2.5,-0.5,0,,0,0,0,79.2
389,Ke'Shawn Vaughn,TAM,24,RB,12,1,8,4,26,0,1,12,3,14,3.5,1.6,0,,2,25,0,57.3
390,Kristian Wilkerson,NWE,24,WR,3,1,8,4,42,2,2,37,9.3,5,1.3,16.5,1,4,1,12.5,0,105.2
391,Jonathan Williams,WAS,27,,5,0,6,4,28,0,2,-8,-2,36,9,-2.3,0,,0,0,1,37.5
392,Cam Akers,LAR,22,,1,0,3,3,10,0,,6,2,4,1.3,2,0,,0,0,0,80.6
393,Ryquell Armstead,JAX,25,,2,0,4,3,16,0,1,-4,-1.3,20,6.7,0,0,,0,0,1,41.7
394,Malcolm Brown,MIA,28,RB,7,3,5,3,10,0,0,2,0.7,8,2.7,-0.4,0,,0,0,0,64.6
395,Michael Burton,KAN,29,,16,0,3,3,31,0,2,-5,-1.7,36,12,-1.7,0,,0,0,0,109.7
396,Greg Dortch,ARI,23,WR,5,2,3,3,15,0,0,-16,-5.3,31,10.3,-5.3,0,,0,0,0,87.5
397,Alex Erickson,CAR,29,,17,0,4,3,55,0,2,25,8.3,30,10,8.3,0,,0,0,0,116.7
398,Reggie Gilliam,BUF,24,FB,16,5,5,3,23,0,,1,0.3,22,7.3,4.2,0,,1,20,0,71.2
399,Demetrius Harris,ARI,30,TE,14,4,6,3,10,0,,-3,-1,13,4.3,3.7,0,,0,0,1,16.7
400,K.J. Hill,LAC,24,,6,0,3,3,30,0,1,18,6,12,4,6,0,,0,0,0,108.3
401,Tommy Hudson,TEN,24,,5,0,6,3,31,0,2,7,2.3,24,8,5,0,,0,0,1,25.7
402,Tyree Jackson,PHI,24,TE,9,3,7,3,22,1,2,15,5,7,2.3,9.9,0,,0,0,0,90.5
403,Andy Janovich,CLE,28,FB,13,3,4,3,9,0,1,5,1.7,4,1.3,2.3,0,,0,0,0,77.1
404,Keith Kirkwood,CAR,27,,3,0,7,3,17,0,1,0,0,17,5.7,7.7,0,,1,14.3,0,50.3
405,Patrick Laird,MIA,26,,6,0,3,3,17,0,2,-3,-1,20,6.7,-1,1,3,0,0,0,90.3
406,D.J. Montgomery,NYJ,25,,3,0,6,3,36,0,2,21,7,15,5,6.5,0,,0,0,0,68.7
407,Jason Moore,LAC,26,WR,2,1,4,3,56,0,3,30,10,26,8.7,15,0,,0,0,0,116.7
408,Chris Myarick,NYG,26,,8,3,6,3,17,1,2,9,3,8,2.7,2.2,0,,2,33.3,1,56.2
409,Gabe Nabers,LAC,24,FB,10,1,3,3,17,0,0,9,3,8,2.7,3,0,,0,0,0,90.3
410,Adam Prentice,NOR,24,FB,7,3,3,3,16,0,1,1,0.3,15,5,0.3,0,,0,0,0,88.9
411,Jaylen Samuels,HOU,25,,3,0,4,3,14,0,1,-3,-1,17,5.7,-1,0,,1,25,0,79.2
412,Trey Sermon,SFO,22,RB,9,2,4,3,26,0,1,8,2.7,18,6,2.5,0,,1,25,0,91.7
413,Kaden Smith,NYG,24,TE,9,4,3,3,33,0,1,22,7.3,11,3.7,7.3,0,,0,0,0,112.5
414,Jeremy Sprinkle,DAL,27,TE,17,4,3,3,31,0,2,12,4,19,6.3,4,0,,0,0,0,109.7
415,Auden Tate,CIN,24,,7,0,4,3,39,1,3,18,6,21,7,11.3,2,1.5,0,0,1,105.2
416,Jonathan Ward,ARI,24,,13,0,4,3,34,0,1,8,2.7,26,8.7,3.3,0,,0,0,0,100
417,Derek Watt,PIT,29,FB,17,4,3,3,15,0,0,-1,-0.3,16,5.3,-0.3,0,,0,0,0,87.5
418,Trevon Wesco,NYJ,26,TE,12,7,5,3,35,0,2,6,2,29,9.7,0.6,0,,0,0,0,81.2
419,Mitchell Wilcox,CIN,25,TE,15,1,5,3,16,0,,8,2.7,8,2.7,3.8,1,3,1,20,0,65.4
420,Shane Zylstra,DET,25,,4,0,7,3,34,0,2,28,9.3,6,2,5.4,0,,0,0,0,58
421,JJ Arcega-Whiteside,PHI,25,WR,16,2,5,2,36,0,2,7,3.5,29,14.5,8.2,0,,3,60,1,25.8
422,Kalen Ballage,PIT,26,,17,0,7,2,8,0,0,-2,-1,10,5,0.3,0,,2,28.6,1,0
423,Cameron Batson,TEN,26,,4,0,5,2,15,1,2,14,7,1,0.5,16.8,0,,0,0,0,87.5
424,Khari Blasingame,TEN,25,FB,11,3,2,2,4,0,0,0,0,4,2,0,0,,0,0,0,79.2
425,Reggie Bonnafon,CAR,25,,4,0,2,2,12,0,1,3,1.5,9,4.5,1.5,0,,0,0,0,91.7
426,Mike Boone,DEN,26,,8,0,2,2,22,0,1,-2,-1,24,12,-1,0,,0,0,0,112.5
427,Daniel Brown,NYJ,29,,12,0,2,2,29,0,1,7,3.5,22,11,3.5,0,,0,0,0,118.7
428,Derek Carrier,LVR,31,TE,5,1,2,2,13,0,,7,3.5,6,3,3.5,0,,0,0,0,93.7
429,Cethan Carter,MIA,26,TE,16,1,2,2,16,0,,8,4,8,4,4,0,,0,0,0,100
430,Dominique Dafney,GNB,24,TE,10,2,4,2,34,0,2,3,1.5,31,15.5,2.5,0,,0,0,0,79.2
431,Taylor Decker,DET,28,T,9,9,2,2,4,1,1,3,1.5,1,0.5,1.5,0,,0,0,0,118.7
432,Darrynton Evans,TEN,23,,1,0,2,2,11,0,1,-4,-2,15,7.5,-2,0,,0,0,0,89.6
433,Jesper Horsted,CHI,24,,7,0,3,2,21,2,2,21,10.5,0,0,10.3,0,,1,33.3,0,126.4
434,Jordan Howard,PHI,27,,7,0,5,2,19,0,2,5,2.5,14,7,1.8,0,,1,20,0,51.2
435,Trenton Irwin,CIN,26,,7,0,5,2,34,0,1,6,3,28,14,12.6,0,,0,0,0,63.7
436,Tyron Johnson,2TM,25,,10,0,5,2,16,0,1,7,3.5,9,4.5,20.4,0,,0,0,1,9.2
437,Marcus Kemp,KAN,26,,16,0,5,2,24,0,1,16,8,8,4,12.4,0,,1,20,1,15.8
438,Jake Kumerow,BUF,29,WR,15,2,6,2,28,0,2,21,10.5,7,3.5,14.3,0,,1,16.7,0,49.3
439,Marlon Mack,IND,25,,6,0,5,2,8,0,0,4,2,4,2,3.2,0,,0,0,0,47.9
440,Racey McMath,TEN,22,,9,0,6,2,8,0,,-1,-0.5,9,4.5,11.2,0,,0,0,0,42.4
441,Jaydon Mickens,2TM,27,,11,0,3,2,10,0,1,7,3.5,3,1.5,19.3,0,,0,0,1,31.9
442,Stanley Morgan Jr.,CIN,25,WR,17,1,4,2,11,0,,-9,-4.5,20,10,8,0,,0,0,0,56.2
443,Dazz Newsome,CHI,22,WR,3,1,5,2,23,0,1,8,4,15,7.5,7.2,0,,0,0,1,15
444,Gunner Olszewski,NWE,25,,16,0,3,2,31,0,2,17,8.5,14,7,9.7,1,2,0,0,0,100.7
445,Dezmon Patmon,IND,23,,8,0,4,2,21,1,1,18,9,3,1.5,9,0,,0,0,0,105.2
446,Scottie Phillips,HOU,24,,3,0,3,2,9,0,0,2,1,7,3.5,0.7,0,,0,0,0,70.1
447,Kevin Rader,PIT,26,TE,6,1,3,2,8,0,,4,2,4,2,2.7,0,,0,0,0,70.1
448,Trey Ragas,LVR,25,,1,0,2,2,6,0,0,-7,-3.5,13,6.5,-3.5,0,,0,0,0,79.2
449,Richard Rodgers,PHI,29,,3,0,2,2,11,0,,1,0.5,10,5,0.5,0,,0,0,0,89.6
450,C.J. Saunders,CAR,25,,2,0,2,2,11,0,1,11,5.5,0,0,5.5,0,,0,0,0,89.6
451,David Sills,NYG,25,WR,4,1,6,2,17,0,1,15,7.5,2,1,9.7,0,,1,16.7,1,2.8
452,Benny Snell Jr.,PIT,23,,17,0,4,2,13,0,0,-7,-3.5,20,10,-1,0,,2,50,0,57.3
453,Johnny Stanton,CLE,27,,4,0,2,2,7,1,1,3,1.5,4,2,1.5,0,,0,0,0,120.8
454,Luke Stocker,MIN,33,,12,0,2,2,12,0,,6,3,6,3,3,0,,0,0,0,91.7
455,Mike Strachan,IND,24,,6,0,3,2,26,0,2,26,13,0,0,18,0,,0,0,0,93.7
456,Malik Taylor,GNB,26,,10,0,3,2,14,0,1,6,3,8,4,10,0,,0,0,0,77.1
457,Patrick Taylor,GNB,23,,9,0,2,2,3,0,1,-2,-1,5,2.5,-1,0,,0,0,0,79.2
458,Trent Taylor,CIN,27,,4,0,3,2,41,0,2,34,17,7,3.5,11.3,0,,0,0,0,109.7
459,Tylan Wallace,BAL,22,WR,17,1,6,2,23,0,1,9,4.5,14,7,5.7,2,1,0,0,0,45.8
460,Austin Walter,NYJ,25,,4,0,3,2,9,0,1,-4,-2,13,6.5,-3,0,,0,0,0,70.1
461,Dwayne Washington,NOR,27,,14,0,2,2,12,0,,2,1,10,5,1,0,,0,0,0,91.7
462,Tyrell Williams,DET,29,,1,1,3,2,14,0,1,6,3,8,4,4.3,0,,0,0,0,77.1
463,Ethan Wolf,NOR,26,TE,2,1,2,2,8,0,,2,1,6,3,1,0,,0,0,0,83.3
464,Kenny Yeboah,NYJ,23,,9,0,3,2,36,0,2,33,16.5,3,1.5,16,0,,1,33.3,0,107.6
465,Alex Armah,2TM,27,,11,2,1,1,1,1,1,0,0,1,1,0,0,,0,0,0,118.7
466,Nick Bawden,NYJ,25,FB,9,1,1,1,20,0,1,9,9,11,11,9,0,,0,0,0,118.7
467,Nick Bellore,SEA,32,,17,0,1,1,4,0,,0,0,4,4,0,0,,0,0,0,83.3
468,Tarik Black,NYJ,23,,1,0,2,1,10,0,1,10,10,0,0,9,0,,1,50,0,64.6
469,Miles Boykin,BAL,25,,8,0,1,1,6,0,,6,6,0,0,6,0,,0,0,0,91.7
470,Nick Boyle,BAL,28,TE,5,3,2,1,2,0,,2,2,0,0,1.5,0,,1,50,0,56.2
471,Garrett Bradbury,MIN,26,C,13,13,1,1,21,0,1,-3,-3,24,24,-3,0,,0,0,0,118.7
472,Gary Brightwell,NYG,22,,13,0,1,1,6,0,,1,1,5,5,1,0,,0,0,0,91.7
473,Keke Coutee,IND,24,,2,0,1,1,5,0,,5,5,0,0,5,0,,0,0,0,87.5
474,Darrell Daniels,ARI,27,TE,15,4,4,1,0,0,,-1,-1,1,1,5.5,0,,1,25,0,39.6
475,Frank Darby,ATL,24,,10,0,4,1,14,0,1,3,3,11,11,20.8,1,1,1,25,0,41.7
476,Davion Davis,HOU,25,WR,2,1,3,1,17,0,1,4,4,13,13,5.7,0,,0,0,1,13.9
477,Wayne Gallman,2TM,27,,8,0,3,1,21,0,1,1,1,20,20,1.7,0,,0,0,0,59
478,Marvin Hall,ATL,28,,2,0,1,1,10,0,1,5,5,5,5,5,0,,0,0,0,108.3
479,Taylor Heinicke,WAS,28,QB,16,15,1,1,-2,0,0,-4,-4,2,2,-4,0,,0,0,0,79.2
480,Daniel Helm,LVR,26,TE,9,1,2,1,-1,0,,-3,-3,2,2,0.5,0,,0,0,0,56.2
481,Kylin Hill,GNB,23,,8,0,2,1,5,0,0,-2,-2,7,7,1.5,0,,0,0,0,56.2
482,Amani Hooker,TEN,23,DB,12,12,1,1,6,0,1,4,4,2,2,4,0,,0,0,0,91.7
483,Brycen Hopkins,LAR,24,,5,0,1,1,9,0,1,3,3,6,6,3,0,,0,0,0,104.2
484,Andy Isabella,ARI,25,,8,0,1,1,13,0,1,6,6,7,7,6,0,,0,0,0,118.7
485,Lane Johnson,PHI,31,T,13,13,1,1,5,1,1,5,5,0,0,5,0,,0,0,0,127.1
486,Daniel Jones,NYG,24,QB,11,11,1,1,16,0,1,13,13,3,3,13,0,,0,0,0,118.7
487,Tommylee Lewis,MIA,29,,2,0,2,1,7,0,1,-4,-4,11,11,3,0,,0,0,0,58.3
488,Drew Lock,DEN,25,QB,6,3,1,1,1,0,0,-5,-5,6,6,-5,0,,0,0,0,79.2
489,Hunter Long,MIA,23,TE,7,2,3,1,8,0,,4,4,4,4,3.3,0,,0,0,1,2.8
490,Conor McDermott,NYJ,29,OL,6,3,1,1,1,1,1,1,1,0,0,1,0,,0,0,0,118.7
491,Anthony McFarland Jr.,PIT,22,,2,0,1,1,11,0,1,0,0,11,11,0,0,,0,0,0,112.5
492,Kirk Merritt,MIA,24,,2,0,3,1,13,0,1,7,7,6,6,18.7,0,,1,33.3,0,47.9
493,Johnny Mundt,LAR,27,,6,0,1,1,9,0,1,7,7,2,2,7,0,,0,0,0,104.2
494,Ryan Nall,CHI,26,,9,0,1,1,4,0,,4,4,0,0,4,0,,0,0,0,83.3
495,Devine Ozigbo,2TM,25,,3,0,1,1,7,0,1,4,4,3,3,4,0,,0,0,0,95.8
496,Danny Pinter,IND,25,G,16,3,1,1,2,1,1,2,2,0,0,2,0,,0,0,0,118.7
497,Bobby Price,DET,23,S,15,2,1,1,17,0,1,9,9,8,8,9,0,,0,0,0,118.7
498,Mike Remmers,KAN,32,T,4,2,1,1,-2,0,,0,0,-2,-2,0,0,,0,0,0,79.2
499,Andre Roberts,2TM,33,,16,0,2,1,35,0,1,19,19,16,16,14.5,0,,0,0,1,56.2
500,Aaron Rodgers*+,GNB,38,QB,16,16,1,1,-4,0,0,-4,-4,0,0,-4,0,,0,0,0,79.2
501,Larry Rountree,LAC,22,,12,0,2,1,-1,0,0,-1,-1,0,0,-0.5,0,,1,50,0,56.2
502,Diontae Spencer,DEN,29,,15,0,4,1,-3,0,,-3,-3,0,0,2.3,0,,0,0,0,39.6
503,Terence Steele,DAL,24,T,16,13,1,1,1,1,1,1,1,0,0,1,0,,0,0,0,118.7
504,Andrew Thomas,NYG,22,T,13,13,1,1,2,1,1,2,2,0,0,2,0,,0,0,0,118.7
505,Eric Tomlinson,BAL,29,TE,17,7,1,1,7,0,,3,3,4,4,3,0,,0,0,0,95.8
506,Kevin White,NOR,29,WR,6,1,5,1,38,0,1,29,29,9,9,24.4,0,,1,20,0,58.7
507,Christian Wilkins,MIA,26,DT,17,17,1,1,1,1,1,1,1,0,0,1,0,,0,0,0,118.7
508,Seth Williams,DEN,21,WR,2,1,1,1,34,0,1,30,30,4,4,30,0,,0,0,0,118.7
509,Trayveon Williams,CIN,24,,5,0,2,1,4,0,0,-7,-7,11,11,-3.5,1,1,0,0,0,56.2
510,Easop Winston,NOR,25,,3,1,1,1,5,0,,-4,-4,9,9,-4,0,,0,0,0,87.5
511,Deon Yelder,TAM,26,,5,0,1,1,0,0,,-2,-2,2,2,-2,0,,0,0,0,79.2
